age,id
7.0,55907.0
78.0,60252.0
8.0,55903.0
68.0,60185.0
83.0,54913.0
44.0,59845.0
15.0,31881.0
79.0,40382.0
10.0,60429.0
52.0,39249.0
53.0,53627.0
21.0,43462.0
52.0,40461.0
53.0,43762.0
18.0,30913.0
35.0,59074.0
68.0,52499.0
83.0,44408.0
72.0,39923.0
23.0,39636.0
20.0,38605.0
28.0,10893.0
69.0,39966.0
47.0,52612.0
22.0,57786.0
38.0,58952.0
20.0,29076.0
23.0,53577.0
59.0,28605.0
24.0,35608.0
59.0,8326.0
17.0,58685.0
49.0,35633.0
30.0,53475.0
21.0,44307.0
18.0,40827.0
26.0,35943.0
18.0,38158.0
72.0,53625.0
10.0,58061.0
71.0,44410.0
23.0,40740.0
12.0,37368.0
44.0,28150.0
42.0,39951.0
59.0,28691.0
45.0,39500.0
58.0,40439.0
11.0,18030.0
36.0,43721.0
25.0,53850.0
26.0,33643.0
67.0,60602.0
31.0,37511.0
25.0,60471.0
71.0,29075.0
38.0,38115.0
28.0,43998.0
32.0,60480.0
15.0,55906.0
22.0,33247.0
65.0,60170.0
60.0,40580.0
49.0,44405.0
76.0,40629.0
17.0,53744.0
60.0,37510.0
61.0,40517.0
20.0,37476.0
23.0,23510.0
25.0,40524.0
28.0,55121.0
32.0,37848.0
35.0,37112.0
22.0,39755.0
14.0,56605.0
58.0,43634.0
21.0,57182.0
53.0,37439.0
53.0,37646.0
10.0,55076.0
20.0,32007.0
18.0,51658.0
21.0,57235.0
44.0,37421.0
16.0,39075.0
11.0,59109.0
19.0,28766.0
29.0,52500.0
36.0,30947.0
25.0,43677.0
30.0,55806.0
38.0,58218.0
70.0,54621.0
14.0,58053.0
43.0,28784.0
19.0,38832.0
62.0,38806.0
20.0,53576.0
17.0,44084.0
18.0,51726.0
37.0,53902.0
23.0,29231.0
71.0,39490.0
59.0,39699.0
18.0,53546.0
22.0,56898.0
34.0,43299.0
70.0,40324.0
47.0,39074.0
38.0,53455.0
69.0,28678.0
66.0,33673.0
21.0,35960.0
9.0,58570.0
43.0,40525.0
85.0,53456.0
26.0,59911.0
42.0,34987.0
48.0,53927.0
44.0,43521.0
67.0,52070.0
36.0,55447.0
23.0,58667.0
66.0,38424.0
64.0,28613.0
27.0,57808.0
50.0,32862.0
37.0,52181.0
36.0,55763.0
20.0,53474.0
63.0,40343.0
65.0,40567.0
32.0,60259.0
71.0,58644.0
49.0,40757.0
43.0,53901.0
40.0,56452.0
21.0,38718.0
33.0,52340.0
25.0,28694.0
69.0,39655.0
51.0,31893.0
8.0,56307.0
47.0,34827.0
21.0,51477.0
68.0,39640.0
15.0,51727.0
51.0,35562.0
39.0,31605.0
59.0,54895.0
57.0,40891.0
71.0,59663.0
18.0,37387.0
57.0,37588.0
50.0,43635.0
57.0,59107.0
34.0,29126.0
57.0,28430.0
55.0,37492.0
25.0,54504.0
39.0,54857.0
26.0,33747.0
22.0,56627.0
