age,id
15.0,A00027443
58.0,A00033748
64.0,A00037522
56.0,A00057445
52.0,A00039353
83.0,A00054913
28.0,A00043998
71.0,A00040182
23.0,A00023510
23.0,A00028352
62.0,A00035440
71.0,A00054482
52.0,A00040383
54.0,A00029215
56.0,A00043325
28.0,A00055373
15.0,A00051690
66.0,A00052234
63.0,A00028929
53.0,A00050742
62.0,A00053369
8.0,A00055693
52.0,A00040461
43.0,A00059344
47.0,A00052612
20.0,A00043466
24.0,A00035608
27.0,A00043704
33.0,A00060632
39.0,A00033832
17.0,A00056453
27.0,A00052235
37.0,A00053902
57.0,A00037386
48.0,A00040174
71.0,A00044410
30.0,A00053475
48.0,A00053927
33.0,A00053854
79.0,A00040382
34.0,A00059756
20.0,A00029979
76.0,A00060306
62.0,A00038520
25.0,A00043677
71.0,A00029075
81.0,A00035337
65.0,A00040286
48.0,A00028400
27.0,A00033232
68.0,A00052118
78.0,A00053626
25.0,A00053850
11.0,A00027159
52.0,A00037110
58.0,A00033903
21.0,A00059527
39.0,A00031605
20.0,A00053474
48.0,A00039560
8.0,A00056307
10.0,A00056920
18.0,A00033180
23.0,A00057444
12.0,A00059325
69.0,A00039655
16.0,A00037458
70.0,A00040257
9.0,A00058570
56.0,A00054358
57.0,A00039820
59.0,A00039331
15.0,A00035377
80.0,A00058145
59.0,A00031872
24.0,A00037647
55.0,A00028246
49.0,A00038817
53.0,A00043762
16.0,A00034073
77.0,A00029219
50.0,A00040116
72.0,A00039916
44.0,A00037421
62.0,A00033998
58.0,A00037545
71.0,A00059663
68.0,A00040285
60.0,A00040784
75.0,A00052214
25.0,A00056919
38.0,A00037783
39.0,A00054914
58.0,A00039846
42.0,A00045554
27.0,A00040573
44.0,A00043521
85.0,A00040181
16.0,A00052183
29.0,A00038189
23.0,A00039636
78.0,A00051796
12.0,A00037368
21.0,A00040915
50.0,A00043635
37.0,A00037582
36.0,A00030947
38.0,A00052560
14.0,A00052613
20.0,A00038605
54.0,A00035378
27.0,A00039084
46.0,A00040678
19.0,A00038285
20.0,A00031459
48.0,A00033764
23.0,A00040740
19.0,A00051064
34.0,A00059428
24.0,A00028177
23.0,A00035553
20.0,A00032007
41.0,A00033011
78.0,A00060252
47.0,A00039074
